Animal ID,Name,Outcome Type,Breed,Color,Year of Birth,Altered,Sex
A694874,*Lizzy,Adoption,Australian Cattle Dog/Vizsla,Brown Merle,2013,Altered,Female
A774323,Luna,Adoption,Miniature Poodle Mix,White,2016,Intact,Female
A763678,Cleopatra,Adoption,Labrador Retriever Mix,Brown/White,2017,Altered,Female
A749960,,Return to Owner,Pembroke Welsh Corgi,Tan/White,2008,Altered,Female
A646578,Sonny,Adoption,Labrador Retriever Mix,Red/Brown,2010,Altered,Male
A717522,Sally,Adoption,Labrador Retriever Mix,Black,2013,Altered,Female
A675373,Guzi,Return to Owner,American Bulldog Mix,White/Brown Brindle,2012,Intact,Female
A732274,Nyx,Adoption,German Shepherd Mix,Brown/Black,2015,Altered,Male
A786454,Muneca,Return to Owner,Miniature Poodle Mix,White/Black,2016,Intact,Female
A747814,Frisco,Return to Owner,Miniature Poodle Mix,White,2010,Altered,Male
A764716,*Franklin,Transfer,Miniature Pinscher/Chihuahua Shorthair,Tricolor,2017,Intact,Male
A718577,Sancho,Return to Owner,Labrador Retriever Mix,Black/White,2011,Altered,Male
A533019,Whiskey,Transfer,Scottish Terrier,Black,2008,Intact,Male
A717424,Jordan,Transfer,Pomeranian Mix,Buff,2013,Altered,Female
A783469,Winston,Adoption,Dachshund/Chihuahua Shorthair,Black/Brown,2016,Altered,Male
A752852,Meeko,Adoption,Siberian Husky Mix,Tan/White,2014,Altered,Male
A524092,Lola,Return to Owner,Pit Bull,Chocolate/White,2008,Altered,Female
A734004,Dixie,Adoption,Black Mouth Cur Mix,Tan,2015,Altered,Female
A753601,Sammi,Adoption,Dachshund/Cardigan Welsh Corgi,White/Tan,2017,Altered,Male
A726185,Bimbo,Return to Owner,Chihuahua Shorthair Mix,Tan,2008,Altered,Male
A697377,*Frankie,Adoption,Chihuahua Shorthair Mix,Tricolor,2015,Altered,Male
A552202,Delores,Euthanasia,Pit Bull Mix,White/Tan,2005,Intact,Female
A721277,Shala,Adoption,Labrador Retriever Mix,Black/White,2015,Altered,Female
A687494,Vince,Return to Owner,Chihuahua Shorthair Mix,Brown,2005,Altered,Male
A703213,*Franklin,Adoption,Dachshund Wirehair/Chihuahua Shorthair,Buff,2015,Altered,Male
A731458,,Adoption,Chihuahua Shorthair Mix,Tan,2015,Altered,Male
A758319,Valerie,Transfer,Pekingese Mix,Brown,2010,Intact,Female
A745058,,Disposal,Pit Bull Mix,Black Brindle/White,2016,Intact,Male
A754062,*Jewel,Adoption,Labrador Retriever Mix,Black/White,2015,Altered,Female
A732175,,Adoption,Pit Bull Mix,White/Gray,2014,Altered,Female
A715054,Queenie,Return to Owner,Australian Cattle Dog Mix,White/Black,2013,Altered,Female
A684123,Ruby,Adoption,Border Collie Mix,Black/White,2013,Altered,Female
A780794,Cameron,Return to Owner,Miniature Poodle/Lhasa Apso,Cream,2016,Altered,Male
A696932,Coach,Adoption,Border Collie Mix,White/Black,2014,Altered,Female
A745864,Jasper,Return to Owner,Dachshund Mix,Black/Brown,2014,Altered,Male
A697762,Socks,Adoption,Boxer Mix,Tan,2014,Altered,Female
A731830,Chilidog,Adoption,Dachshund Mix,Brown,2014,Altered,Male
A727120,*Dash,Adoption,Rottweiler,Black/Tan,2015,Intact,Female
A750286,Daisy,Transfer,Toy Poodle Mix,Black/White,2017,Intact,Female
A717526,*Mars,Adoption,Maltese Mix,White,2012,Altered,Male
A778761,*Sparrow,Adoption,German Shepherd Mix,Yellow Brindle/White,2017,Altered,Female
A736422,Bevo,Return to Owner,Pit Bull Mix,Fawn/White,2016,Altered,Male
A681482,Chumino,Transfer,Chihuahua Shorthair/Dachshund,Tricolor,2013,Intact,Male
A729285,*Rita,Transfer,Chihuahua Shorthair Mix,Red,2012,Intact,Female
A760146,,Transfer,Great Pyrenees/Australian Cattle Dog,White/Tan,2017,Intact,Female
A705094,Magna,Adoption,Staffordshire Mix,Blue/White,2014,Altered,Female
A735044,*Cupcake,Adoption,Pit Bull Mix,Blue,2010,Altered,Female
A783960,Hank,Adoption,Pointer/Boxer,White/Tan,2017,Altered,Male
A769267,Waffles,Transfer,Basset Hound Mix,Black/Tricolor,2017,Intact,Male
A779239,Chico,Transfer,Chihuahua Shorthair Mix,Brown,2012,Altered,Male
A786962,Moana,Adoption,Australian Shepherd/Collie Rough,Brown/Black,2017,Altered,Female
A774744,,Adoption,Plott Hound Mix,Brown Brindle/Black,2018,Altered,Female
A731098,,Transfer,German Shepherd Mix,Tan,2011,Unknown,Unknown
A775176,Patty,Return to Owner,West Highland Mix,White,2008,Altered,Female
A665719,,Adoption,Chihuahua Longhair Mix,Tan,2013,Altered,Female
A715376,Gunny,Adoption,Siberian Husky,Black/White,2013,Altered,Male
A733301,,Adoption,Chihuahua Shorthair Mix,Black,2015,Altered,Female
